"Year","c","MWh","unit","kwh_veh_total"
"2024","Indonesia",2541.28834,49478,51.361985933142
"2024","Ireland",1299.5069,18370,70.7407131192161
"2024","Israel",4054.01883,58908,68.819495314728
"2024","Italy",4390.15438,77662,56.5289894671783
"2024","Japan",3178.3574,60452,52.5765466816648
"2024","Kenya",18.2242,437,41.7029748283753
"2024","Malaysia",1713.04986,25882,66.1869198670891
"2024","Mexico",1493.3597,22500,66.3715422222222
"2024","Morocco",93.3876,1950,47.8910769230769
"2024","Netherlands",9809.76398,139583,70.2790739559975
"2024","New Zealand",465.1684,6476,71.8295861642989
"2024","Nigeria",33.122,570,58.1087719298245
"2024","Norway",8836.2397,121162,72.929133721794
"2024","Pakistan",12.5974,276,45.6427536231884
"2024","Peru",27.3539,421,64.9736342042755
"2024","Philippines",137.44,2220,61.9099099099099
"2024","Poland",1286.46054,18419,69.8442119550464
"2024","Portugal",2958.904,44572,66.3848155792874
"2024","Rest of EU",2274.06123,33243,68.4072204674668
"2024","Rest of Middle East/Africa",1097.01356,16404,66.8747598146794
"2024","Rest of South America",1265.03674,20189,62.65970280846
"2024","Rest of South Asia/Oceania",1277.14842,18525,68.9418850202429
"2024","Romania",604.2502,10872,55.5785688005887
"2024","Russia",269.64147,4624,58.3134666955017
"2024","Saudi Arabia",675.1448,7428,90.8918686052773
"2024","Singapore",824.00472,12206,67.5081697525807
"2024","Slovakia",171.5064,2374,72.2436394271272
"2024","South Africa",111.6096,1442,77.3991678224688
"2024","South Korea",9512.115,139323,68.2738313128486
"2024","Spain",4181.99228,63491,65.8674816903183
"2024","Sweden",7592.2607,102395,74.1467913472337
"2024","Switzerland",3434.2632,48184,71.2739332558526
"2024","Thailand",4122.18984,69738,59.1096653187645
"2024","Turkey",6454.3569,93227,69.232699754363
"2024","United Arab Emirates",1393.3485,16918,82.3589372266225
"2024","United Kingdom",28367.89592,401617,70.6342010422866
"2024","United States",110047.6926,1264106,87.0557473819442
"2024","Uruguay",250.00864,4681,53.4092373424482
"2024","Vietnam",3598.0711,68793,52.3028665707267
"2024","Western Europe non EU",232.3169,3271,71.0232039131764
